#{"t_start": 1666530487.3859344, "env_id": null}
r,l,t
12.854538,151,2938.468437
11.580492,151,2938.468437
10.909895,151,2947.234229
13.653486,151,2947.326107
17.024603,151,2947.433001
18.413227,151,2947.433001
-39.96287,151,2956.281445
11.81888,151,2956.384324
7.8696175,151,2956.499219
12.038516,151,2956.499219
16.938316,151,2965.462546
12.874849,151,2965.553437
6.3152256,151,2965.645236
14.159464,151,2965.645236
13.65745,151,2974.551304
9.99411,151,2974.628272
9.454846,151,2974.720383
14.831628,151,2974.720383
7.9489903,151,2983.51117
-8.154174,151,2983.603116
11.557137,151,2983.695992
12.7712345,151,2983.695992
9.453599,151,2999.477814
7.3375726,151,2999.573203
15.673429,151,2999.676637
15.668595,151,2999.676637
17.181267,151,3008.527747
16.521437,151,3008.638121
12.530999,151,3008.72829
16.206543,151,3008.72829
17.087814,151,3017.533533
14.532106,151,3017.624908
19.911814,151,3017.732316
-36.494473,151,3017.732316
6.6065874,151,3026.572464
9.534474,151,3026.679818
16.750341,151,3026.771227
7.9531245,151,3026.771227
13.740249,151,3035.523193
17.273891,151,3035.614091
16.523333,151,3035.705466
14.700523,151,3035.705466
12.617403,151,3044.534775
13.744,151,3044.611692
16.664963,151,3044.739518
12.415653,151,3044.739518
12.626628,151,3053.720203
15.804751,151,3053.754194
14.005135,151,3053.858049
11.672463,151,3053.858049
14.88633,151,3062.614304
15.310402,151,3062.721691
13.832488,151,3062.813104
18.89398,151,3062.813104
13.260433,151,3071.681997
11.705023,151,3071.758384
7.0793195,151,3071.865292
14.406556,151,3071.865292
23.436678,151,3080.746644
